Geography,Car_Truck_Van_Less_Than_15,Car_Truck_Van_15_to_29,Car_Truck_Van_30_to_44,Car_Truck_Van_45_to_59,Car_Truck_Van_More_Than_60,Car_Truck_Van_Avg_Duration,Public_Transit_Less_Than_15,Public_Transit_15_to_29,Public_Transit_30_to_44,Public_Transit_45_to_59,Public_Transit_More_Than_60,Public_Transit_Avg_Duration,Active_Transportation_Less_Than_15,Active_Transportation_15_to_29,Active_Transportation_30_to_44,Active_Transportation_45_to_59,Active_Transportation_More_Than_60,Active_Transportation_Avg_Duration,Motorcycle_Scooter_Moped_Less_Than_15,Motorcycle_Scooter_Moped_15_to_29,Motorcycle_Scooter_Moped_30_to_44,Motorcycle_Scooter_Moped_45_to_59,Motorcycle_Scooter_Moped_More_Than_60,Motorcycle_Scooter_Moped_Avg_Duration,Other_Less_Than_15,Other_15_to_29,Other_30_to_44,Other_45_to_59,Other_More_Than_60,Other_Avg_Duration,Population (2021),Population (2016),Population Percentage Change (2016->2021),Land area (2021) (km^2),Population density per km^2 (2021),Province or Territory Abbreviation
Litchfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,459.0,8.9,198.57,2.5,Que.
Little Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,105.0,-4.8,1.66,60.4,N.L.
Little Bay East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,127.0,-33.9,1.56,53.8,N.L.
Little Bay Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,-100.0,7.34,0.0,N.L.
Little Black Bear 84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,137.0,26.3,65.68,2.6,Sask.
Little Bone 74B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,24.0,70.8,1.78,23.1,Sask.
Little Buffalo,45.0,10.0,15.0,0.0,15.0,24.8,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441.0,452.0,-2.4,12.86,34.3,Alta.
Little Burnt Bay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,281.0,-15.3,8.46,28.1,N.L.
Little Hills 158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.52,0.0,Sask.
Little Hills 158B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,Sask.
Little Pine 116,25.0,10.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.0,700.0,-11.1,65.81,9.5,Sask.
Little Red River 106C,20.0,10.0,10.0,15.0,10.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367.0,354.0,3.7,125.77,2.9,Sask.
Little Red River 106D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-100.0,23.86,0.0,Sask.
Little Springs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,15.0,33.3,4.71,4.2,B.C.
Livingston No. 331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,281.0,0.0,1326.24,0.2,Sask.
Lloydminster (Part),3950.0,1267.5,377.5,175.0,105.0,14.149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,155.0,50.0,27.5,0.0,0.0,12.350000000000001,0.0,0.0,0.0,0.0,0.0,0.0,37.5,17.5,0.0,0.0,0.0,8.1,11843.0,11765.0,0.7,18.06,655.8,Sask.
Lochaber,15.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,415.0,7.5,62.14,7.2,Que.
Lochaber-Partie-Ouest,15.0,10.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,856.0,8.2,57.39,16.1,Que.
Lockeport,95.0,95.0,15.0,10.0,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,531.0,-10.4,2.32,205.4,N.S.
Logan Lake,325.0,280.0,210.0,545.0,575.0,41.6,0.0,0.0,0.0,0.0,0.0,0.0,110.0,10.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,16.0,2255.0,1993.0,13.1,324.28,7.0,B.C.
Logy Bay-Middle Cove-Outer Cove,55.0,65.0,20.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2364.0,2221.0,6.4,16.99,139.1,N.L.
Lomond,25.0,20.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,166.0,7.2,1.19,149.3,Alta.
Lomond No. 37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,296.0,-7.1,825.6,0.3,Sask.
London,37175.0,48420.0,13935.0,3395.0,2760.0,19.2,690.0,2560.0,2325.0,1105.0,1155.0,33.9,3560.0,2580.0,715.0,170.0,165.0,15.7,50.0,80.0,10.0,0.0,0.0,18.0,1735.0,620.0,90.0,25.0,60.0,11.3,422324.0,383822.0,10.0,420.5,1004.3,Ont.
Lone Tree No. 18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,150.0,-6.7,821.4,0.2,Sask.
Long Lake 58,30.0,10.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.0,385.0,6.5,2.75,149.0,Ont.
Longlaketon No. 219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1096.0,1016.0,7.9,1022.45,1.1,Sask.
Longue-Pointe-de-Mingan,65.0,10.0,15.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.0,434.0,-6.0,370.03,1.1,Que.
Longue-Rive,35.0,40.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.0,1026.0,-10.5,308.06,3.0,Que.
Longview,55.0,35.0,25.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,297.0,307.0,-3.3,1.1,269.6,Alta.
Loon Lake,85.0,50.0,30.0,15.0,10.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.0,288.0,-2.4,0.74,380.8,Sask.
Loon Lake No. 561,10.0,10.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,836.0,756.0,10.6,3148.06,0.3,Sask.
Lord's Cove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,162.0,-4.3,29.91,5.2,N.L.
Loreburn,35.0,15.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,107.0,-6.5,0.56,178.2,Sask.
Loreburn No. 254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,327.0,16.2,958.42,0.4,Sask.
Lorne,217.5,120.0,37.5,15.0,15.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,464.0,-32.5,1632.21,0.2,N.B.
Lorraine,185.0,235.0,90.0,30.0,20.0,20.4,0.0,0.0,0.0,0.0,10.0,44.0,30.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,11.2,9502.0,9352.0,1.6,5.9,1609.9,Que.
Lorrainville,150.0,110.0,10.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.0,1272.0,1.1,87.91,14.6,Que.
Lost River No. 313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,242.0,4.1,549.96,0.5,Sask.
Lotbinière,1895.0,1480.0,700.0,170.0,62.5,20.35,0.0,0.0,0.0,0.0,0.0,0.0,460.0,40.0,0.0,0.0,0.0,6.6,17.5,10.0,5.0,0.0,0.0,7.2,40.0,7.5,0.0,12.5,0.0,9.5,855.0,812.0,5.3,79.91,10.7,Que.
Lougheed,30.0,20.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,256.0,-12.1,2.0,112.5,Alta.
Louis Bull 138B,110.0,20.0,10.0,0.0,10.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.0,1177.0,12.2,31.68,41.7,Alta.
Louis Creek 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,50.0,0.03,465.8,B.C.
Louise,275.0,160.0,25.0,20.0,20.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025.0,1918.0,5.6,934.81,2.2,Man.
Louiseville,1670.0,1295.0,695.0,125.0,70.0,18.4,10.0,0.0,0.0,0.0,0.0,0.0,155.0,45.0,15.0,0.0,0.0,9.6,10.0,15.0,0.0,0.0,0.0,11.2,30.0,0.0,0.0,0.0,0.0,42.0,7340.0,7152.0,2.6,62.59,117.3,Que.
Lourdes,35.0,10.0,10.0,10.0,15.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.0,465.0,8.0,7.39,68.0,N.L.
Love,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.4,124.8,Sask.
Low,20.0,35.0,25.0,10.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,982.0,3.9,257.78,4.0,Que.
Lower Hat Creek 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,25.0,144.0,8.38,7.3,B.C.
Lower Similkameen 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,58.0,31.0,12.98,5.9,B.C.
Loyalist,685.0,1210.0,535.0,210.0,120.0,23.5,0.0,0.0,0.0,0.0,10.0,0.0,125.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,60.0,35.0,10.0,0.0,0.0,10.8,17943.0,16971.0,5.7,342.72,52.4,Ont.
Lucan Biddulph,350.0,285.0,190.0,40.0,35.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,0.0,22.0,5680.0,4700.0,20.9,169.08,33.6,Ont.
Lucky Lake,90.0,65.0,15.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,289.0,-6.6,0.82,330.6,Sask.
Lucky Man,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.03,0.0,Sask.
Lukseetsissum 9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,18.0,188.9,0.65,80.0,B.C.
Lumby,250.0,120.0,125.0,15.0,20.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,50.0,15.0,10.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2063.0,1833.0,12.5,5.93,347.7,B.C.
Lumsden,110.0,112.5,90.0,17.5,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,62.5,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,535.0,501.0,6.8,19.2,27.9,N.L.
Lumsden No. 189,45.0,75.0,30.0,40.0,10.0,24.9,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,1968.0,1938.0,1.5,816.17,2.4,Sask.
Lunenburg,2335.0,1945.0,701.6666666666666,196.66666666666666,195.0,18.966666666666665,5.0,0.0,8.333333333333334,0.0,0.0,13.333333333333334,261.6666666666667,65.0,10.0,3.3333333333333335,0.0,7.433333333333334,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,121.66666666666667,26.666666666666668,3.3333333333333335,3.3333333333333335,8.333333333333334,12.533333333333333,25545.0,24863.0,2.7000000000000006,1757.79,14.5,N.S.
Luseland,70.0,50.0,10.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.0,623.0,-10.3,1.59,351.3,Sask.
Lushes Bight-Beaumont-Beaumont North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,168.0,0.6,34.52,4.9,N.L.
Lutselk'e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,303.0,9.9,42.96,7.8,N.W.T.
Lynn Lake,95.0,10.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,3.4,579.0,494.0,17.2,867.53,0.7,Man.
Lyster,175.0,55.0,25.0,15.0,15.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1587.0,1605.0,-1.1,167.55,9.5,Que.
Lytton,70.0,25.0,15.0,30.0,30.0,35.4,0.0,0.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,249.0,-15.7,6.73,31.2,B.C.
Lytton 4A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62,0.0,B.C.
Lytton 4E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.25,4.0,B.C.
Lytton 9A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,100.0,1.52,6.6,B.C.
Lytton 9B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,B.C.
Léry,85.0,50.0,25.0,20.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,2390.0,2318.0,3.1,10.36,230.7,Que.
Lévis,16650.0,16875.0,6580.0,1705.0,735.0,18.6,190.0,325.0,235.0,155.0,115.0,29.4,1570.0,690.0,180.0,30.0,20.0,12.0,85.0,50.0,0.0,0.0,0.0,11.4,320.0,90.0,35.0,0.0,20.0,11.2,149683.0,143414.0,4.4,448.07,334.1,Que.
M'Chigeeng 22,145.0,55.0,10.0,15.0,10.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,926.0,884.0,4.8,32.99,28.1,Ont.
Ma-Me-O Beach,0.0,10.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,110.0,47.3,0.56,288.5,Alta.
MacNutt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,65.0,-23.1,0.92,54.3,Sask.
Macamic,200.0,230.0,65.0,10.0,20.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2744.0,2751.0,-0.3,202.05,13.6,Que.
Macdonald,555.0,1340.0,675.0,240.0,95.0,24.2,0.0,0.0,0.0,10.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,7.5,8120.0,7162.0,13.4,1156.11,7.0,Man.
"Macdonald, Meredith and Aberdeen Additional",60.0,75.0,55.0,0.0,0.0,18.7,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1513.0,1609.0,-6.0,163.26,9.3,Ont.
Machar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,882.0,9.9,182.65,5.3,Ont.
Machin,100.0,55.0,10.0,15.0,0.0,18.1,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1012.0,971.0,4.2,290.14,3.5,Ont.
Mackenzie,960.0,145.0,0.0,10.0,15.0,10.3,0.0,0.0,0.0,0.0,10.0,0.0,50.0,40.0,0.0,0.0,0.0,11.1,10.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,3281.0,3714.0,-11.7,154.19,21.3,B.C.
Macklin,305.0,75.0,20.0,10.0,15.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,1374.0,-9.2,3.05,409.2,Sask.
Macoah 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,19.0,42.1,0.43,62.5,B.C.
Macoun,20.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,269.0,1.1,1.7,160.4,Sask.
Macpherson-Grizzly Valley,15.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.0,1245.0,23.7,1834.28,0.8,Y.T.
Macrorie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,68.0,-4.4,0.72,90.8,Sask.
Madawaska,2972.5,1440.0,390.0,162.5,60.0,7.2,5.0,0.0,5.0,0.0,0.0,8.5,112.5,25.0,25.0,0.0,0.0,5.85,12.5,7.5,5.0,0.0,0.0,6.9,42.5,7.5,0.0,0.0,0.0,4.3,0.0,10.0,-100.0,173.42,0.0,N.B.
